Um pedreiro coloca três azulejos por hora. Em 30 horas colocará,90 azulejos.,100 azulejos.,110 azulejos.,120 azulejos.,,A
Calcule: 1 / √5-1 equivale a:,√5,√5-1,(√5+1)/4,√5+1,,C
"Seja os pontos (1,4) e (4,16) no plano cartesiano. Qual é a função que rege esses pontos?",y = 2x,y = 3x,y = 4x,y = 5x,,C
Assinale a alternativa que contém o valor de x em x+3/2 + 3/4 = 4,"2,5","3,5",3,4,,B
"Um posto de gasolina vende álcool e diesel na taxa de 1 para 4. Se em um dia forem vendidos 400 litros de diesel, terão sido vendidos quantos litros de álcool? ",70,100,80,90,,B
"Se a metade do preço de um vídeo game mais R$100,00 equivale a R$800,00, qual é o preço desse vídeo game?","R$1.400,00","R$1.500,00","R$1.600,00","R$1.700,00",,A
Uma lapiseira escreve 10.000 palavras. Cinco lapiseiras escrevem:,50.000 palavras.,60.000 palavras.,70.000 palavras.,80.000 palavras.,,A
O dobro do meu peso mais 10 kg é igual a 70 kg. Quanto peso?,25 kg,30 kg,40 kg,45 kg,,B
"A receita de chocolate quente de Lucas utiliza chocolate em pó e açúcar na razão de 4 para 3, respectivamente. Na preparação de chocolate quente para uma festa, Lucas utilizou 40 colheres de chocolate em pó. Quantas colheres de açúcar Lucas utilizou?",20,30,40,50,,B
Observe: 2 é diretamente proporcional a 3 assim como 30 é diretamente proporcional a,30.,35.,40.,45.,,D
