"A figura abaixo foi extraída de um aplicativo da suíte Microsoft Office 365, denominado:",Access.,Word.,PowerPoint.,Excel.,,B,consesp-prova1-q1.png
"Considere a utilização de uma distribuição Linux. Em uma janela terminal, foi digitado o seguinte comando: $ find /etc/ -mmin -10 Podemos considerar que o usuário está propondo a ação de:",localizar arquivos por permissão.,localizar arquivos por data e hora.,localizar arquivos por usuário.,excluir arquivos por data e hora.,,B,
"No sistema operacional Microsoft Windows 10, na sua instalação padrão, no idioma Português-Brasil, qual atalho pode ser utilizado para abrir o Explorador de Arquivos? Considere [Windows] a tecla existente nos teclados comercialmente disponíveis, com o logotipo deste sistema operacional.",Ctrl + Alt + Delete,Alt + Delete,[Windows] + E,[Windows] + C,,C,
"A partir do editor de textos Microsoft Office Word 365, na sua instalação padrão, no idioma Português-Brasil, associe corretamente cada ícone abaixo à sua respectiva nomenclatura característica.","I – Modo de Leitura , II – Layout de Impressão , III – Layout da Web","I – Modo de Leitura , II – Layout da Web , III – Layout de Impressão","I – Layout de Impressão , II – Modo de Leitura , III – Layout da Web","I – Layout da Web , II – Modo de Leitura , III – Layout de Impressão",,A,consesp-prova1-q4.png
"Considere a utilização de aplicativos da suíte Microsoft Office 365, na sua instalação padrão, no idioma Português-Brasil. Assinale a alternativa que contenha o atalho para o botão ilustrado a seguir.",Ctrl + Z,Ctrl + Alt + Delete,Ctrl + Tab,Ctrl + S,,D,consesp-prova1-q5.png
"Utilizando-se de uma planilha editada a partir do aplicativo Microsoft Office Excel 365, na sua instalação padrão, no idioma Português-Brasil, assinale a alternativa que relaciona corretamente cada mensagem de erro à sua imagem correspondente.","I – #REF! , II – #NOME? , III – #DIV/0!","I – #NOME? , II – #DIV/0! , III – #REF!","I – #DIV/0! , II – #NOME? , III – #REF!","I – #NOME? , II – #REF! , III – #DIV/0!",,C,consesp-prova1-q6.png
"Considerando a utilização de uma planilha criada a partir do aplicativo Microsoft Office Excel 365, na sua instalação padrão, no idioma Português-Brasil, qual é o resultado esperado na célula A6 da ilustração a seguir?","Não é possível determinar o resultado, pois a linha 3 encontra-se oculta.",221.,120.,30.,,D,consesp-prova1-q10.png
"A seguinte figura ilustra um painel que mostra diversos indicadores gráficos de relevância para seu usuário, conhecido comumente como:",Spyware.,Worms.,Dashboards.,Tabela Dinâmica.,,C,consesp-prova1-q11.png
"Em 28 de maio de 2017, o jornal O Estado de S. Paulo publicava notícia sobre um ataque cibernético denominado WannaCry que sequestrou dados de 300 mil computadores em 150 países. Este tipo de ataque é denominado:",spam.,blog.,bitcoin.,ransomware.,,D,
"A respeito de uma distribuição Linux, os termos a seguir: vi vim nano gedit jed joe fazem referência a:",editores de texto.,gerenciadores de banco de dados.,navegadores de internet.,planilhas eletrônicas.,,A,
